Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
Grove Connectors,JLCPCB is out of stock so I need to get these and solder them myself,1,0.99,http://seeedstudio.com/Grove-Universal-4-pin-connector.html?srsltid=AfmBOorW7PKIxB2nBkeDA8cmDVeIM7P4xw2DvOuiTnTy1p6jJHWLyXrN,Seeed Studio
Grove Cables (5pc),Connect the modules which have the Grove connectors,1,3.2,https://www.seeedstudio.com/Grove-Universal-4-Pin-20cm-Unbuckled-Cable-5-PCs-Pack-p-749.html?srsltid=AfmBOoq_PWPlUHW6AhA9C06W1DHX0IDENz6RkAf7MmArpoaDusm0fHTv,Seeed Studio
PVC tubing,Tubing for DC water pump to transport water to plant,1,1.5,https://www.adafruit.com/product/4545,Adafruit
"0.96"" OLED Display","To display information to user (soil humidity, time until next watering)",1,5.5,https://www.electromaker.io/shop/product/grove-oled-yellowblue-display-096-ssd1315-spiiic-33v5v?gad_source=1&gad_campaignid=17338710367&gbraid=0AAAAAB8F3FmRMabQ0J10iEwfIvI6VSl6a&gclid=Cj0KCQjwkMjOBhC5ARIsADIdb3d52XNHvB0xUx85szcmNXmzkSiIRx9xRBb809RG0A6VtOCNXQ8NJkkaAqXOEALw_wcB,Electromaker
LiPo battery,To power the RP2040 so that I don't need to keep the USB plugged into something - modular design,1,7.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1578/5054539?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlhvKmgdjMr2ASbfNgFbFfC-K&gclid=CjwKCAjwhLPOBhBiEiwA8_wJHHKKz7rCEnEKWuYEBjjljwh4XTezaZe1PkV-ABDO55FqAjQQXDC_LhoCzSYQAvD_BwE,Digikey
Soil Moisture Sensor,To sense soil moisture. Comes with the Grove cable,1,6.5,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/101020614/10451856?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlg0W_J99eqvXgXNPPW8JPTJ3&gclid=Cj0KCQjwkMjOBhC5ARIsADIdb3eCSI7m6MAOEKuGfIUN2KJrR13pjfvRjO6_lb4Cy3DIPg3S2Vih_EMaAuvSEALw_wcB,Digikey
4.5V DC Water Pump,To pump water so that the plants can be watered.,1,3,https://www.digikey.com/en/products/detail/pimoroni-ltd/COM3700/17095207?gclsrc=aw.ds&gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLliRI0x7j5u_vN-RxMsu0GZb4&gclid=Cj0KCQjw77bPBhC_ARIsAGAjjV8Tcmb1D96uYqL9qOM_0nRBGDz4FpwRhH_SSa0cAxia4-QjcN9abrwaArgVEALw_wcB,Digikey
Main PCB,Main devboard of the project,1,181.91,https://www.jlcpcb.com,JLCPCB
BME280,Breakout is cheaper than PCB assembly so I decided to get a breakout of the BME280 for sensing rather than PCB,1,15.99,https://www.digikey.com/en/products/detail/sb-components-ltd/SKU27347/26694343,Digikey
3D Printed Case,To house the electronics,1,N/A,N/A,Self-printed
